CTA_-_System_Information_-_List_of__L__Stops
STOP_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID
30082,Cicero (Loop-bound),Cicero,Cicero (Pink Line),40420
30151,Central Park (Loop-bound),Central Park,Central Park (Pink Line),40780
30184,Halsted/63rd (Ashland-bound),Halsted,Halsted (Green Line),40940
30044,Cumberland (O'Hare-bound),Cumberland,Cumberland (Blue Line),40230
30092,Racine (O'Hare-bound),Racine,Racine (Blue Line),40470
30253,Paulina (Kimball-bound),Paulina,Paulina (Brown Line),41310
30162,18th (54th/Cermak-bound),18th,18th (Pink Line),40830
30374,Clark/Lake (Forest Pk-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",40380
30248,Jefferson Park (Forest Pk-bound),Jefferson Park,Jefferson Park (Blue Line),41280
30104,Diversey (Loop-bound),Diversey,Diversey (Brown & Purple lines),40530
30287,Montrose (Kimball-bound),Montrose,Montrose (Brown Line),41500
30068,UIC-Halsted (O'Hare-bound),UIC-Halsted,UIC-Halsted (Blue Line),40350
30214,35-Bronzeville-IIT (63rd-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120
30102,Foster (Howard-Loop-bound),Foster,Foster (Purple Line),40520
30008,Quincy/Wells (Outer Loop),Quincy/Wells,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",40040
30070,Southport (Kimball-bound),Southport,Southport (Brown Line),40360
30252,Loyola (95th-bound),Loyola,Loyola (Red Line),41300
30237,47th (Howard-bound),47th,47th (Red Line),41230
30267,Bryn Mawr (Howard-bound),Bryn Mawr,Bryn Mawr (Red Line),41380
30190,Harlem (Forest Pk Branch) (Terminal arrival),Harlem,Harlem (Blue Line - Forest Park Branch),40980
30173,Howard (Terminal arrival),Howard,"Howard (Red, Purple & Yellow lines)",40900
30207,Kedzie (63rd-bound),Kedzie,Kedzie (Green Line),41070
30218,King Drive (Harlem-bound),King Drive,King Drive (Green Line),41140
30057,Ashland/63rd (Terminal arrival),Ashland/63rd,Ashland/63rd (Green Line),40290
30088,95th/Dan Ryan (Howard-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),40450
30129,Western (O'Hare Branch) (O'Hare-bound),Western,Western (Blue Line - O'Hare Branch),40670
30128,Armitage (Loop-bound),Armitage,Armitage (Brown & Purple lines),40660
30089,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),40450
30269,Roosevelt (Howard-bound),Roosevelt,"Roosevelt (Red, Orange & Green lines)",41400
30256,Belmont (95th-bound),Belmont,"Belmont (Red, Brown & Purple lines)",41320
30114,54th/Cermak (Terminal arrival),54th/Cermak,54th/Cermak (Pink Line),40580
30217,King Drive (Cottage Grove-bound),King Drive,King Drive (Green Line),41140
30134,Dempster (Howard-Loop-bound),Dempster,Dempster (Purple Line),40690
30236,Fullerton (Loop-bound),Fullerton,"Fullerton (Red, Brown & Purple lines)",41220
30149,Lawrence (Howard-bound),Lawrence,Lawrence (Red Line),40770
30158,Illinois Medical District (Forest Pk-bound),Illinois Medical District,Illinois Medical District (Blue Line),40810
30290,Lake (95th-bound),Lake,Lake (Red Line),41660
30047,79th (95th-bound),79th,79th (Red Line),40240
30243,Austin (63rd-bound),Austin,Austin (Green Line),41260
30084,Clinton (O'Hare-bound),Clinton,Clinton (Blue Line),40430
30231,Wellington (Kimball-Linden-bound),Wellington,Wellington (Brown & Purple lines),41210
30175,"Howard (Linden, Skokie-bound)",Howard,"Howard (Red, Purple & Yellow lines)",40900
30263,Oak Park (63rd-bound),Oak Park,Oak Park (Green Line),41350
30130,Western (O'Hare Branch) (Forest Pk-bound),Western,Western (Blue Line - O'Hare Branch),40670
30268,Bryn Mawr (95th-bound),Bryn Mawr,Bryn Mawr (Red Line),41380
30279,Chicago (Howard-bound),Chicago,Chicago (Red Line),41450
30155,Sedgwick (Kimball-Linden-bound),Sedgwick,Sedgwick (Brown & Purple lines),40800
30239,Addison (O'Hare-bound),Addison,Addison (Blue Line),41240
30288,Montrose (Loop-bound),Montrose,Montrose (Brown Line),41500
30015,Jackson/Dearborn (Forest Pk-bound),Jackson,Jackson (Blue Line),40070
30202,Kedzie (54th/Cermak-bound),Kedzie,Kedzie (Pink Line),41040
30154,Monroe (Forest Pk-bound),Monroe,Monroe (Blue Line),40790
30195,Rockwell (Kimball-bound),Rockwell,Rockwell (Brown Line),41010
30041,Damen (54th/Cermak-bound),Damen,Damen (Pink Line),40210
30180,Pulaski (Forest Pk-bound),Pulaski,Pulaski (Blue Line),40920
30101,Foster (Linden-bound),Foster,Foster (Purple Line),40520
30004,Harlem (Terminal arrival),Harlem/Lake,Harlem/Lake (Green Line),40020
30384,Washington/Wabash (Inner Loop),Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",41700
30266,California (Harlem-bound),California,California (Green Line),41360
30021,Morse (95th-bound),Morse,Morse (Red Line),40100
30060,Western (Loop-bound),Western,Western (Orange Line),40310
30096,Grand/Milwaukee (Forest Pk-bound),Grand,Grand (Blue Line),40490
30375,Clark/Lake (O'Hare-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",40380
30095,Grand/Milwaukee (O'Hare-bound),Grand,Grand (Blue Line),40490
30062,Division (O'Hare-bound),Division,Division (Blue Line),40320
30185,Pulaski (Loop-bound),Pulaski,Pulaski (Orange Line),40960
30161,18th (Loop-bound),18th,18th (Pink Line),40830
30293,Sheridan (Howard-Linden-bound),Sheridan,Sheridan (Red Line),40080
30272,Chicago (Forest Pk-bound),Chicago,Chicago (Blue Line),41410
30090,Merchandise Mart (Kimball-Linden-bound),Merchandise Mart,Merchandise Mart (Brown & Purple lines),40460
30061,Western (Midway-bound),Western,Western (Orange Line),40310
30171,O'Hare (Terminal Arrival),O'Hare,O'Hare (Blue Line),40890
30245,43rd (Harlem-bound),43rd,43rd (Green Line),41270
30093,Racine (Forest Pk-bound),Racine,Racine (Blue Line),40470
30265,California (63rd-bound),California,California (Green Line),41360
30063,Division (Forest Pk-bound),Division,Division (Blue Line),40320
30036,Sox-35th (Howard-bound),Sox-35th,Sox-35th (Red Line),40190
30083,Cicero (54th/Cermak-bound),Cicero,Cicero (Pink Line),40420
30198,Logan Square (Forest Pk-bound),Logan Square,Logan Square (Blue Line),41020
30020,Morse (Howard-bound),Morse,Morse (Red Line),40100
30115,Damen/Milwaukee (O'Hare-bound),Damen,Damen (Blue Line),40590
